Label,GEN1,GEN2,GEN3,GEN4,GEN5,GEN6,GEN7,GEN8,GEN9,GEN10,GEN11,GEN12,GEN13,GEN14,GEN15
C1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0
C2,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0
C3,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
C4,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
C5,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0
C6,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0
C7,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
C8,1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
C9,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
C10,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0
C11,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0
C12,1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
C13,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
C14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
