"Env","ENTRIES","Yield_Mean","Yield_StdErrMean","Yield_sigma2","Yield_No.rep"
"A","T1",3603.74115266666,306.72282336007,258877.647157736,3
"A","T10",2787.762611,306.72282336007,258877.647157736,3
"A","T11",3875.608429,306.72282336007,258877.647157736,3
"A","T12",3255.61208033333,306.72282336007,258877.647157736,3
"A","T13",3237.36061966666,306.72282336007,258877.647157736,3
"A","T14",1375.07407866666,306.72282336007,258877.647157736,3
"A","T15",3689.173267,306.72282336007,258877.647157736,3
"A","T16",3641.76321466666,306.72282336007,258877.647157736,3
"A","T17",3243.595523,306.72282336007,258877.647157736,3
"A","T18",3714.35161766666,306.72282336007,258877.647157736,3
"A","T19",3687.29882866666,306.72282336007,258877.647157736,3
"A","T2",2445.35866733333,306.72282336007,258877.647157736,3
"A","T20",3180.02963133333,306.72282336007,258877.647157736,3
"A","T21",3758.82625533333,306.72282336007,258877.647157736,3
"A","T22",2890.792467,306.72282336007,258877.647157736,3
"A","T23",3365.813532,306.72282336007,258877.647157736,3
"A","T24",3638.13476033333,306.72282336007,258877.647157736,3
"A","T25",4339.62195266667,306.72282336007,258877.647157736,3
"A","T26",2718.47299466667,306.72282336007,258877.647157736,3
"A","T27",3622.90964466666,306.72282336007,258877.647157736,3
"A","T28",3772.64352333333,306.72282336007,258877.647157736,3
"A","T3",1330.65175273333,306.72282336007,258877.647157736,3
"A","T4",2615.36905966666,306.72282336007,258877.647157736,3
"A","T5",3357.62554766667,306.72282336007,258877.647157736,3
"A","T6",3353.67655333333,306.72282336007,258877.647157736,3
"A","T7",3139.69216933333,306.72282336007,258877.647157736,3
"A","T8",2569.84678666667,306.72282336007,258877.647157736,3
"A","T9",3951.34219466666,306.72282336007,258877.647157736,3
"B","T1",3065.51511066667,436.033079447684,557182.145444282,3
"B","T10",5587.624986,436.033079447684,557182.145444282,3
"B","T11",4655.691074,436.033079447684,557182.145444282,3
"B","T12",4570.1101,436.033079447684,557182.145444282,3
"B","T13",5465.67450266666,436.033079447684,557182.145444282,3
"B","T14",1994.18323766667,436.033079447684,557182.145444282,3
"B","T15",4346.010982,436.033079447684,557182.145444282,3
"B","T16",3247.84434333333,436.033079447684,557182.145444282,3
"B","T17",3369.898045,436.033079447684,557182.145444282,3
"B","T18",3004.41944733333,436.033079447684,557182.145444282,3
"B","T19",2974.669981,436.033079447684,557182.145444282,3
"B","T2",3061.662313,436.033079447684,557182.145444282,3
"B","T20",4265.549517,436.033079447684,557182.145444282,3
"B","T21",4947.98758566667,436.033079447684,557182.145444282,3
"B","T22",4743.81038666667,436.033079447684,557182.145444282,3
"B","T23",5618.556904,436.033079447684,557182.145444282,3
"B","T24",5145.21823366667,436.033079447684,557182.145444282,3
"B","T25",3665.457533,436.033079447684,557182.145444282,3
"B","T26",5351.26179666667,436.033079447684,557182.145444282,3
"B","T27",4902.55027533333,436.033079447684,557182.145444282,3
"B","T28",5434.80156733333,436.033079447684,557182.145444282,3
"B","T3",2227.849399,436.033079447684,557182.145444282,3
"B","T4",4590.139451,436.033079447684,557182.145444282,3
"B","T5",5381.98727666667,436.033079447684,557182.145444282,3
"B","T6",4898.37588433333,436.033079447684,557182.145444282,3
"B","T7",4656.22612633333,436.033079447684,557182.145444282,3
"B","T8",4945.11431333333,436.033079447684,557182.145444282,3
"B","T9",4483.33473766667,436.033079447684,557182.145444282,3
"C","T1",2239.390237,399.197639645814,478076.266111791,2.94736842105263
"C","T10",3558.95756066667,399.197639645814,478076.266111791,2.94736842105263
"C","T11",3411.93826533333,399.197639645814,478076.266111791,2.94736842105263
"C","T12",470.928125828543,488.915261827838,478076.266111791,2.94736842105263
"C","T13",2628.763004,399.197639645814,478076.266111791,2.94736842105263
"C","T14",4040.83178866667,399.197639645814,478076.266111791,2.94736842105263
"C","T15",1355.332266,399.197639645814,478076.266111791,2.94736842105263
"C","T16",3350.22258733334,399.197639645814,478076.266111791,2.94736842105263
"C","T17",4414.33833266667,399.197639645814,478076.266111791,2.94736842105263
"C","T18",3857.85936966667,399.197639645814,478076.266111791,2.94736842105263
"C","T19",4126.14172566667,399.197639645814,478076.266111791,2.94736842105263
"C","T2",3194.02713166667,399.197639645814,478076.266111791,2.94736842105263
"C","T20",3098.07886766667,399.197639645814,478076.266111791,2.94736842105263
"C","T21",1521.45685866667,399.197639645814,478076.266111791,2.94736842105263
"C","T22",4106.47820466667,399.197639645814,478076.266111791,2.94736842105263
"C","T23",2843.016234,399.197639645814,478076.266111791,2.94736842105263
"C","T24",2901.97519933333,399.197639645814,478076.266111791,2.94736842105263
"C","T25",3269.13829933333,399.197639645814,478076.266111791,2.94736842105263
"C","T26",2539.22171666667,399.197639645814,478076.266111791,2.94736842105263
"C","T27",2645.28142866667,399.197639645814,478076.266111791,2.94736842105263
"C","T28",3321.073475,399.197639645814,478076.266111791,2.94736842105263
"C","T3",5404.83864166667,399.197639645814,478076.266111791,2.94736842105263
"C","T4",6019.08962466667,399.197639645814,478076.266111791,2.94736842105263
"C","T5",1985.29097833333,399.197639645814,478076.266111791,2.94736842105263
"C","T6",3995.15784766667,399.197639645814,478076.266111791,2.94736842105263
"C","T7",2704.569009,399.197639645814,478076.266111791,2.94736842105263
"C","T8",1366.55923516667,399.197639645814,478076.266111791,2.94736842105263
"C","T9",3754.518453,399.197639645814,478076.266111791,2.94736842105263
