"ENTRY","YIELD_PredMean","EnvLevel"
"1",5.28878979591814,"1"
"10",2.95730019549385,"1"
"11",3.96025075704508,"1"
"12",4.19406159865193,"1"
"13",4.41181361367319,"1"
"14",3.60229697342984,"1"
"15",3.80284480300399,"1"
"16",6.0940432215742,"1"
"17",4.34435385804918,"1"
"18",4.34009064346189,"1"
"19",4.92717335132953,"1"
"2",5.19701216020317,"1"
"20",4.41181361367319,"1"
"21",3.29459875999151,"1"
"22",3.98456874417211,"1"
"23",4.9586050331004,"1"
"24",4.81230871920758,"1"
"25",4.43246883324051,"1"
"26",4.54673291084907,"1"
"27",4.68876622422676,"1"
"28",4.11948814838407,"1"
"29",5.0620926485054,"1"
"3",4.20943445383722,"1"
"30",4.4075503990859,"1"
"31",3.56443767590123,"1"
"32",4.1826846894208,"1"
"33",4.23903480489655,"1"
"34",5.40122265075069,"1"
"35",4.65733454290561,"1"
"36",4.13771159021226,"1"
"37",4.58987478683187,"1"
"38",4.04776528520884,"1"
"39",4.65733454290561,"1"
"4",4.90225491762465,"1"
"40",5.53187894741144,"1"
"41",4.54673291084907,"1"
"42",3.80284480300399,"1"
"43",3.05835614109526,"1"
"44",4.30649456097029,"1"
"45",4.76976739773817,"1"
"46",4.95149123142048,"1"
"47",4.00522385625362,"1"
"48",3.91284588054715,"1"
"49",3.96208219434298,"1"
"5",3.38454506544466,"1"
"50",4.68876622422676,"1"
"51",3.92422279022802,"1"
"52",3.28322185076037,"1"
"53",3.73295327009058,"1"
"54",4.30649456097029,"1"
"55",3.37316815621352,"1"
"56",3.85676303415427,"1"
"57",5.19701216020317,"1"
"58",5.42187786986828,"1"
"59",4.41181361367319,"1"
"6",4.05914219443998,"1"
"60",5.85806787176083,"1"
"61",3.88106825451309,"1"
"62",4.34052597940988,"1"
"63",3.70877159611855,"1"
"64",4.50325056568278,"1"
"65",4.92442018491893,"1"
"66",4.21608949879763,"1"
"7",4.43003705595111,"1"
"8",4.18694790400809,"1"
"9",4.16262980984498,"1"
